lon,lat,origin,,lon,lat,destination
120.36964,36.166706,a34,,120.3774,36.177603,a35
120.3774,36.177603,a35,,120.37877,36.186575,a36
120.37877,36.186575,a36,,120.36253,36.241436,a37
120.36253,36.241436,a37,,120.35793,36.245511,a38
120.35793,36.245511,a38,,120.35297,36.246734,a39
120.35297,36.246734,a39,,120.26644,36.239922,a40
120.26644,36.239922,a40,,120.25725,36.260063,a41
120.25725,36.260063,a41,,120.25164,36.273333,a42
120.25164,36.273333,a42,,120.24704,36.279385,a43
120.32499,36.07263,d1,,120.32705,36.072958,d2
120.32705,36.072958,d2,,120.32838,36.073271,d3
120.32838,36.073271,d3,,120.32868,36.073585,d4
120.32868,36.073585,d4,,120.32947,36.0743,d5
120.32947,36.0743,d5,,120.33031,36.07492,d6
120.33031,36.07492,d6,,120.33045,36.075554,d7
120.33045,36.075554,d7,,120.32985,36.076539,d8
120.32985,36.076539,d8,,120.33028,36.077815,d9
120.33028,36.077815,d9,,120.33019,36.078413,d10
120.33019,36.078413,d10,,120.33136,36.078559,d11
120.33136,36.078559,d11,,120.3332,36.078471,d12
120.3332,36.078471,d12,,120.33509,36.079098,d13
120.33509,36.079098,d13,,120.34546,36.081089,d14
120.34546,36.081089,d14,,120.34298,36.081315,d15
120.34298,36.081315,d15,,120.34145,36.082409,d16
120.34145,36.082409,d16,,120.34013,36.083291,d17
120.34013,36.083291,d17,,120.33885,36.083751,d18
120.33885,36.083751,d18,,120.33953,36.084494,d19
120.33953,36.084494,d19,,120.3386,36.084859,d20
120.3386,36.084859,d20,,120.33675,36.085668,d21
120.33675,36.085668,d21,,120.33675,36.085703,d22
120.33675,36.085703,d22,,120.34091,36.089991,d23
120.34091,36.089991,d23,,120.34248,36.090384,d24
120.34248,36.090384,d24,,120.34336,36.090257,d25
120.34336,36.090257,d25,,120.34499,36.089907,d26
120.34499,36.089907,d26,,120.34663,36.090636,d27
120.34663,36.090636,d27,,120.34338,36.094675,d28
120.34338,36.094675,d28,,120.343,36.09835,d29
120.343,36.09835,d29,,120.34686,36.109052,d30
120.34686,36.109052,d30,,120.33594,36.118207,d31
120.33594,36.118207,d31,,120.34197,36.134357,d32
120.34197,36.134357,d32,,120.36864,36.166998,d33
120.36864,36.166998,d33,,120.3511,36.176321,d34
120.3511,36.176321,d34,,120.33069,36.178885,d35
120.33069,36.178885,d35,,120.2548,36.168396,d36
120.2548,36.168396,d36,,120.18639,36.138322,d37
120.18639,36.138322,d37,,120.14959,36.116866,d38
120.14959,36.116866,d38,,120.12113,36.080471,d39
120.12113,36.080471,d39,,120.0944,36.062267,d40
120.0944,36.062267,d40,,120.02484,36.056198,d41
120.02484,36.056198,d41,,119.91244,36.054331,d42
120.32499,36.07263,e1,,120.32705,36.072958,e2
120.32705,36.072958,e2,,120.32838,36.073271,e3
120.32838,36.073271,e3,,120.32868,36.073585,e4
120.32868,36.073585,e4,,120.32947,36.0743,e5
120.32947,36.0743,e5,,120.33031,36.07492,e6
